method,m,Number Of Distinct Elements
HyperLogLog512,512,1042459.064267117
HyperLogLog512,512,1015732.3636133292
HyperLogLog512,512,990428.6079033723
HyperLogLog512,512,975014.9719400912
HyperLogLog512,512,948273.2662825045
HyperLogLog512,512,1047596.4786347434
HyperLogLog512,512,1020592.0011735922
HyperLogLog512,512,1000543.5062505408
HyperLogLog512,512,934164.481329548
HyperLogLog512,512,957714.0793027348
HyperLogLog512,512,994777.0960267032
HyperLogLog512,512,1040559.3529180432
HyperLogLog512,512,921924.9778363956
HyperLogLog512,512,974374.5441667875
HyperLogLog512,512,988039.0623534896
HyperLogLog512,512,1023837.3660697411
HyperLogLog512,512,991239.9018217002
HyperLogLog512,512,986692.0454391968
HyperLogLog512,512,978073.1450264984
HyperLogLog512,512,1019894.4293268853
HyperLogLog512,512,956576.1704725199
HyperLogLog512,512,1046705.5804739778
HyperLogLog512,512,966699.6093356714
HyperLogLog512,512,916511.9508397812
HyperLogLog512,512,995148.682675592
HyperLogLog512,512,975923.9377977157
HyperLogLog512,512,915456.0248537911
HyperLogLog512,512,991766.5888544234
HyperLogLog512,512,1023059.1368018137
HyperLogLog512,512,927182.5789025873
HyperLogLog512,512,1057727.7749290015
HyperLogLog512,512,1049840.818019326
HyperLogLog512,512,997318.2161081798
HyperLogLog512,512,1007473.7251416577
HyperLogLog512,512,930737.5980520529
HyperLogLog512,512,980025.6365926799
HyperLogLog512,512,996376.5064737889
HyperLogLog512,512,935365.4516846801
HyperLogLog512,512,1048491.6728148783
HyperLogLog512,512,1085079.6593628118
HyperLogLog512,512,980572.0583504351
HyperLogLog512,512,973141.3789551314
HyperLogLog512,512,880341.0779249537
HyperLogLog512,512,1033429.8794791556
HyperLogLog512,512,1005493.3982911372
HyperLogLog512,512,976692.347702633
HyperLogLog512,512,978486.7924160839
HyperLogLog512,512,1048109.8138536463
HyperLogLog512,512,983821.8434234343
HyperLogLog512,512,939698.00684645
HyperLogLog512,512,1018475.764143645
HyperLogLog512,512,975272.099943871
HyperLogLog512,512,1019421.9774195224
HyperLogLog512,512,1067549.8090251652
HyperLogLog512,512,1012830.630479246
HyperLogLog512,512,1022913.681039565
HyperLogLog512,512,976198.4030882375
HyperLogLog512,512,1004774.8458692294
HyperLogLog512,512,942009.9801031183
HyperLogLog512,512,1013564.4872323757
HyperLogLog512,512,985356.6707140232
HyperLogLog512,512,1000143.9443318971
HyperLogLog512,512,1065485.9082353367
HyperLogLog512,512,1039053.7955103846
HyperLogLog512,512,1099843.3813910785
HyperLogLog512,512,1080586.8228141777
HyperLogLog512,512,944537.3538414796
HyperLogLog512,512,944218.4376494967
HyperLogLog512,512,1017471.7834126825
HyperLogLog512,512,995888.7731418586
HyperLogLog512,512,949163.7683681432
HyperLogLog512,512,887500.9631003749
HyperLogLog512,512,971904.169745904
HyperLogLog512,512,993576.986280489
HyperLogLog512,512,940640.6623791858
HyperLogLog512,512,1064832.1875260556
HyperLogLog512,512,1039304.9096155548
HyperLogLog512,512,960719.4047038155
HyperLogLog512,512,907522.9229510211
HyperLogLog512,512,977657.5827107888
HyperLogLog512,512,972840.227157997
HyperLogLog512,512,952953.6528518447
HyperLogLog512,512,1014615.0723376018
HyperLogLog512,512,1004459.8558363701
HyperLogLog512,512,1027553.1842993717
HyperLogLog512,512,999525.0011670487
HyperLogLog512,512,980832.1260937898
HyperLogLog512,512,1029842.6855916254
HyperLogLog512,512,1016345.4434211304
HyperLogLog512,512,997174.9615373649
HyperLogLog512,512,1012534.2113988033
HyperLogLog512,512,917703.847169611
HyperLogLog512,512,1020434.0885371546
HyperLogLog512,512,1054965.638162315
HyperLogLog512,512,973563.6641334145
HyperLogLog512,512,1051636.9367558095
HyperLogLog512,512,1002543.5742170057
HyperLogLog512,512,1025585.408429746
HyperLogLog512,512,957566.3340805412
HyperLogLog512,512,1040908.3469888516
HyperLogLog1024,1024,980399.1947124441
HyperLogLog1024,1024,1034513.6169995003
HyperLogLog1024,1024,1003280.4835818557
HyperLogLog1024,1024,967685.8355812565
HyperLogLog1024,1024,988123.6298187391
HyperLogLog1024,1024,1014157.6154655407
HyperLogLog1024,1024,996676.802807982
HyperLogLog1024,1024,1047517.7898620547
HyperLogLog1024,1024,984353.0327860927
HyperLogLog1024,1024,1000351.8998005546
HyperLogLog1024,1024,980834.6196993593
HyperLogLog1024,1024,1045776.2237560252
HyperLogLog1024,1024,942553.8971475328
HyperLogLog1024,1024,999075.7184909582
HyperLogLog1024,1024,982805.3335718734
HyperLogLog1024,1024,983646.8475363246
HyperLogLog1024,1024,1021667.5956799051
HyperLogLog1024,1024,1016894.18951511
HyperLogLog1024,1024,979344.7902463421
HyperLogLog1024,1024,991511.966593504
HyperLogLog1024,1024,966713.4525511473
HyperLogLog1024,1024,1034756.8310384379
HyperLogLog1024,1024,1048478.5075695215
HyperLogLog1024,1024,926032.9401373795
HyperLogLog1024,1024,977207.8706011333
HyperLogLog1024,1024,963802.1308600347
HyperLogLog1024,1024,974750.9174694777
HyperLogLog1024,1024,1003378.9596448992
HyperLogLog1024,1024,981371.9659717266
HyperLogLog1024,1024,947787.0607210424
HyperLogLog1024,1024,1019105.8378486498
HyperLogLog1024,1024,1037796.4879810652
HyperLogLog1024,1024,985631.1698126337
HyperLogLog1024,1024,1040102.8257789223
HyperLogLog1024,1024,906871.4996126618
HyperLogLog1024,1024,987227.2307192977
HyperLogLog1024,1024,998033.446621107
HyperLogLog1024,1024,982555.9171217972
HyperLogLog1024,1024,1000046.6318881974
HyperLogLog1024,1024,1064403.2758138939
HyperLogLog1024,1024,988982.767468227
HyperLogLog1024,1024,952928.4108022526
HyperLogLog1024,1024,956120.8627933174
HyperLogLog1024,1024,1000069.0392234692
HyperLogLog1024,1024,998003.8621413352
HyperLogLog1024,1024,965154.1727213403
HyperLogLog1024,1024,968518.6661543829
HyperLogLog1024,1024,1052793.9047860806
HyperLogLog1024,1024,996258.8146415466
HyperLogLog1024,1024,960055.9158774138
HyperLogLog1024,1024,1003683.6430799126
